name,state,state_code,type,degree_length,cost_type,in_state,AY2017,AY2016,AY2015,AY2014,AY2013,AY2012,AY2011,AY2010,AY2009
Providence Christian College,California,CA,Private,4 Year,total,out,44682,41532,42026,40276,38602,36686,35284,34284,32506
Providence Christian College,California,CA,Private,4 Year,tuition,in,29372,28014,27173,25680,24222,22686,21444,20444,19156
Providence College,Rhode Island,RI,Private,4 Year,total,in,64984,62700,60400,59110,57625,56402,54840,52940,46180
Providence College,Rhode Island,RI,Private,4 Year,total,out,64984,62700,60400,59110,57625,56402,54840,52940,46180
Providence College,Rhode Island,RI,Private,4 Year,tuition,in,48764,46970,45400,44323,43245,42206,40975,39435,33120
Queens University of Charlotte,North Carolina,NC,Private,4 Year,total,in,48776,47546,47290,48106,44124,41168,38724,35960,34566
Queens University of Charlotte,North Carolina,NC,Private,4 Year,total,out,48776,47546,47290,48106,44124,41168,38724,35960,34566
Queens University of Charlotte,North Carolina,NC,Private,4 Year,tuition,in,33532,32560,32560,30910,29800,27576,25356,23752,22730
Quincy University,Illinois,IL,Private,4 Year,total,in,41670,41028,40398,39940,39114,38380,36960,35360,34220
Quincy University,Illinois,IL,Private,4 Year,total,out,41670,41028,40398,39940,39114,38380,36960,35360,34220
Quincy University,Illinois,IL,Private,4 Year,tuition,in,27770,27128,26998,26572,25834,25180,24140,23000,22030
Quinnipiac University,Connecticut,CT,Private,4 Year,total,in,63770,61910,59290,57360,55780,54000,51780,49180,46980
Quinnipiac University,Connecticut,CT,Private,4 Year,total,out,63770,61910,59290,57360,55780,54000,51780,49180,46980
Quinnipiac University,Connecticut,CT,Private,4 Year,tuition,in,46780,43940,42270,40670,39330,38000,36130,34250,32400
Rabbi Jacob Joseph School,New Jersey,NJ,Private,4 Year,total,in,19200,19200,18700,18200,18200,18200,18200,17700,16600
Rabbi Jacob Joseph School,New Jersey,NJ,Private,4 Year,total,out,19200,19200,18700,18200,18200,18200,18200,17700,16600
Rabbi Jacob Joseph School,New Jersey,NJ,Private,4 Year,tuition,in,11900,11900,11400,10900,10900,10900,10900,10400,9800
Rabbinical Academy Mesivta Rabbi Chaim Berlin,New York,NY,Private,4 Year,total,in,19450,19450,19250,19250,18900,18400,17850,17850,16250
